model_id,name,category,sheets,status,difficulty,difficulty_num,rating,notes,last_worked
MMS073,P-51 Mustang,Aviation,1.0,Completed,Moderate,5.0,7,,2026-05-31
MMS123,Monarch Butterfly,Insect,1.0,Completed,Easy,,3,"Super Easy, completed with elliott in maybe 30 mins",2026-05-31
MMS501,Black Panther,Marvel ,3.5,Completed,8,,9,Looks incredible. Fingers were miserable. Need to take a break from characters.,2026-05-31
MMS468,Mail Truck USPS LLV,Vehicle,2.0,Completed,6,,6,,2026-06-04
PS2016,Apollo 11 Astronaut,Character,,Completed,7,,10,,2026-07-23
MMS203,Tiger Tank,Military,2.0,In Progress,6,,0,,2026-07-31
ME 1937,1937 Ford Pickup,Vehicle,2.0,Not Started,6,,0,,2026-07-09
MMS326,Deadpool,Character,3.5,Completed,8,,7,"Was a fun build. Did not like the way some of the pieces came together.

9/10 on build enjoyment
5/10 on finished product.

For Jon brown ",2026-07-30
MMS372,Batmobile ,Vehicle,2.0,Not Started,8,,0,,2026-07-30
