Model_ID,Name,Brand,Product_line,Status,Difficulty,Rating,Total_Build_Time,Display_Time,Image
MMS180,"P-51D Mustang ""Sweet Arlene""",Metal Earth,Standard,Complete,7,7,9.999,00:00:09,
MMS325,Black Panther,Metal Earth,Marvel,Complete,9.5,10,0,00:00:00,
MMS123,Monarch Butterfly,Metal Earth,Standard,Complete,2,2,0,00:00:00,
MMS568,USPS LLV Mail Truck,Metal Earth,Standard,Not Started,4,,0,00:00:00,
SYS,SYS,Other,,In Progress,,,0,00:00:00,
,,,,,,,0,00:00:00,
,,,,,,,0,00:00:00,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/ujFguBqgLhMBYrAwnmBj/pub/dQw2McTTj6AZbAnTMQ23.jpg
